data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
10138,COCC11248806,'202212261453182673944523,'202212261500412673976308,COCV_90,9000,2022-12-26 15:21:19.0,SHP,SHP,null,null,
10139,COCC11248821,'202212261457222673958094,'202212261500422673977012,COCV_885,9000,2022-12-26 15:06:26.0,SHP,SHP,BO,hernandez.shirly_m,
10140,COCC11248869,'202212261512182674019582,'202212261518212674043458,COCV_405,9000,2022-12-26 15:39:19.0,SHP,SHP,null,null,
10141,COCC11248899,'202212261519522674050465,'202212261524142674069939,COCV_391,9000,2022-12-26 15:28:02.0,SHP,SHP,BO,riano.heidy_m,
10142,COCC11248902,'202212261521272674062668,'202212261530102674089654,COCV_262,9000,2022-12-26 18:25:28.0,SHP,SHP,null,camacho.bryan_m,
10143,COCC11248919,'202212261530212674091353,'202212261538002674119542,COCV_881,9000,2022-12-26 17:38:47.0,SHP,SHP,null,guisao.heidy_m,
10144,COCC11248942,'202212261537022674116471,'202212261540052674125825,COCV_220,9000,2022-12-26 15:49:55.0,SHP,SHP,BO,sepulveda.andres_m,
10145,COCC11248960,'202212261541022674135205,'202212261551592674179200,COCV_696,9000,2022-12-26 17:00:15.0,SHP,SHP,null,martinez.marly_m,
10146,COCC11249017,'202212261600432674217049,'202212261610202674248858,COCV_155,9000,2022-12-26 16:23:50.0,SHP,SHP,BO,burgos.sandra_m,
10147,COCC11249017,'202212261600432674217049,'202212261625192674309114,COCV_190,9000,2022-12-26 16:27:09.0,SHP,SHP,BO,maestre.deisy_m,
10148,COCC11249034,'202212261604402674231018,'202212261613232674262711,COCV_155,9000,2022-12-26 16:34:19.0,SHP,SHP,null,null,
10149,COCC11249034,'202212261604402674231018,'202212261636562674354711,COCV_660,9000,2022-12-26 17:01:55.0,SHP,SHP,CNCL,gomez.constanza_m,
10150,COCC11249047,'202212261607132674237118,'202212261612212674260076,COCV_881,9000,2022-12-26 16:15:31.0,SHP,SHP,BO,medina.natalia_m,
10151,COCC11249047,'202212261607132674237118,'202212261617212674276799,COCV_556,9000,2022-12-26 16:27:53.0,SHP,SHP,BO,varon.yulieth_m,
10152,COCC11249071,'202212261614552674269023,'202212261623132674298903,COCV_181,9000,2022-12-26 16:26:46.0,SHP,SHP,BO,anacona.castro_m,
10153,COCC11249071,'202212261614552674269023,'202212261629052674319771,COCV_378,9000,2022-12-26 16:31:00.0,SHP,SHP,CNCL,fandino.leidy_m,
10154,COCC11249077,'202212261616282674274668,'202212261623112674298662,COCV_156,9000,2022-12-26 16:25:43.0,SHP,SHP,BO,huerfano.laura_m,
10155,COCC11249080,'202212261618042674278059,'202212261625202674309274,COCV_621,9000,2022-12-26 16:29:17.0,SHP,SHP,BO,cano.leidy_m,
10156,COCC11249087,'202212261619342674281716,'202212261623142674299082,COCV_551,9000,2022-12-26 16:24:28.0,SHP,SHP,BO,molina.maydi_m,
10157,COCC11249087,'202212261619342674281716,'202212261627062674313792,COCV_549,9000,2022-12-26 16:30:00.0,SHP,SHP,CNCL,sanchez.victor_m,
10158,COCC11249110,'202212261630022674323967,'202212261635062674348355,COCV_874,9000,2022-12-26 16:36:32.0,SHP,SHP,BO,cardozoe.daniela_m,
10159,COCC11249134,'202212261638032674358878,'202212261648572674397836,COCV_378,9000,2022-12-26 16:51:24.0,SHP,SHP,BO,fandino.leidy_m,
10160,COCC11249157,'202212261646082674390984,'202212261651002674412474,COCV_405,9000,2022-12-26 20:11:10.0,SHP,SHP,null,lizarazo.liliana_m,
10161,COCC11249174,'202212261649362674400001,'202212261652582674419467,COCV_551,9000,2022-12-26 16:55:08.0,SHP,SHP,BO,otalora.liliana_m,
10162,COCC11249194,'202212261654332674424519,'202212261658562674435104,COCV_262,9000,2022-12-26 17:04:19.0,SHP,SHP,BO,camacho.bryan_m,
10163,COCC11249299,'202212261730162674546924,'202212261736142674573541,COCV_885,9000,2022-12-26 18:03:05.0,SHP,SHP,null,hernandez.shirly_m,
10164,COCC11249336,'202212261746112674611456,'202212261749542674618438,COCV_468,9000,2022-12-26 17:51:14.0,SHP,SHP,BO,alejo.jeimy_m,
10165,COCC11249381,'202212261802182674673242,'202212261814202674712066,COCV_155,9000,2022-12-26 18:17:45.0,SHP,SHP,BO,burgos.sandra_m,
