data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
144,CO11354572,'202212011826362508391306,'202212011828082508401178,COCV_378,9000,2022-12-01 18:29:29.0,SHP,SHP,BO,fandino.leidy_m,
145,CO11354577,'202212011833322508442649,'202212011835022508451232,COCV_545,9000,2022-12-01 18:55:10.0,SHP,SHP,null,null,
146,CO11354621,'202212011841332508497652,'202212011842392508504473,COCV_401,9000,2022-12-01 19:03:08.0,SHP,SHP,null,null,
147,CO11354633,'202212011906392508721747,'202212011908092508730821,COCV_155,9000,2022-12-01 19:20:56.0,SHP,SHP,BO,burgos.sandra_m,
148,CO11354674,'202212011956332509078068,'202212011958082509088044,COCV_391,9000,2022-12-01 20:00:14.0,SHP,SHP,BO,torres.karen_m,
149,CO11354708,'202212011916322508792778,'202212011918082508800816,COCV_696,9000,2022-12-01 19:23:04.0,SHP,SHP,BO,martinez.marly_m,
150,CO11354713,'202212011921362508831297,'202212011923082508841838,COCV_747,9000,2022-12-01 19:43:10.0,SHP,SHP,null,null,
151,CO11354716,'202212011923352508845573,'202212011925092508856311,COCV_378,9000,2022-12-01 19:32:34.0,SHP,SHP,BO,sereno.zunilda_m,
152,CO11354732,'202212011943352508984690,'202212011945202508998098,COCV_156,9000,2022-12-01 19:55:57.0,SHP,SHP,BO,garcia.roy_m,
153,CO11354781,'202212012043372509417640,'202212012044392509424708,COCV_392,9000,2022-12-01 20:47:44.0,SHP,SHP,BO,aguirre.dora_m,
154,CO11354781,'202212012043372509417640,'202212012049092509453094,COCV_825,9000,2022-12-01 20:55:00.0,SHP,SHP,CNCL,junco.bearlys_m,
155,CO11354787,'202212012018362509236871,'202212012020102509248657,COCV_181,9000,2022-12-01 20:21:36.0,SHP,SHP,BO,zapata.alejandra_m,
156,CO11354791,'202212012021332509263106,'202212012023082509272937,COCV_885,9000,2022-12-01 20:26:20.0,SHP,SHP,BO,bello.luzary_m,
157,CO11354824,'202212012111372509619796,'202212012113092509628491,COCV_378,9000,2022-12-01 23:04:37.0,SHP,SHP,null,sereno.zunilda_m,
158,CO11354825,'202212012111372509619783,'202212012113082509628297,COCV_378,9000,2022-12-01 21:17:06.0,SHP,SHP,BO,sereno.zunilda_m,
159,CO11354825,'202212012111372509619783,'202212012119092509666420,COCV_545,9000,2022-12-01 21:21:53.0,SHP,SHP,BO,diaz.andrea_m,
160,CO11354845,'202212012128382509735061,'202212012130092509746284,COCV_101,9000,2022-12-01 21:34:57.0,SHP,SHP,BO,paez.monica_m,
161,CO11354855,'202212012145062509862275,'202212012147192509876530,COCV_739,9000,2022-12-01 21:50:42.0,SHP,SHP,BO,fonseca.yissel_m,
162,CO11354873,'202212012203372509996018,'202212012205082510005290,COCV_378,9000,2022-12-01 22:07:51.0,SHP,SHP,BO,sereno.zunilda_m,
163,CO11354884,'202212012051352509476737,'202212012053072509487383,COCV_660,9000,2022-12-01 20:57:33.0,SHP,SHP,BO,obando.maribel_m,
164,CO11354897,'202212012106372509579776,'202212012108082509589133,COCV_262,9000,2022-12-01 21:13:45.0,SHP,SHP,BO,deleon.cindy_m,
165,CO11354900,'202212012116342509651068,'202212012118092509659778,COCV_556,9000,2022-12-01 21:23:49.0,SHP,SHP,BO,varon.yulieth_m,
166,CO11354928,'202212012138362509810870,'202212012139232509815703,COCV_688,9000,2022-12-02 05:50:39.0,SHP,SHP,null,ibague.laura_m,
