data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
121,CO11407272,'202301021526382706802833,'202301021528102706806118,COCV_190,9000,2023-01-02 15:29:54.0,SHP,SHP,BO,maestre.deisy_m,
122,CO11407274,'202301021526382706802796,'202301021528082706805990,COCV_816,9000,2023-01-02 15:31:24.0,SHP,SHP,BO,gonzalez.diana_m,
123,CO11407298,'202301021536382706830638,'202301021538112706833828,COCV_220,9000,2023-01-02 15:58:27.0,SHP,SHP,null,null,
124,CO11407302,'202301021538342706834906,'202301021540092706838801,COCV_896,9000,2023-01-02 16:00:26.0,SHP,SHP,null,null,
125,CO11407308,'202301021551352706876608,'202301021553252706879251,COCV_885,9000,2023-01-02 15:59:39.0,SHP,SHP,BO,rolong.bleidys_m,
126,CO11407309,'202301021548312706863606,'202301021549582706865862,COCV_545,9000,2023-01-02 15:52:54.0,SHP,SHP,BO,pena.angie_m,
127,CO11407328,'202301021613322706937799,'202301021616232706944629,COCV_181,9000,2023-01-02 16:18:53.0,SHP,SHP,BO,castano.styven_m,
128,CO11407329,'202301021611352706934419,'202301021614162706939497,COCV_378,9000,2023-01-02 16:17:32.0,SHP,SHP,BO,sereno.zunilda_m,
129,CO11407340,'202301021618372706948483,'202301021621202706961670,COCV_391,9000,2023-01-02 16:21:59.0,SHP,SHP,BO,hernandez.luz_m,
130,CO11407351,'202301021631362706992541,'202301021633072706995564,COCV_885,9000,2023-01-02 16:36:07.0,SHP,SHP,BO,rolong.bleidys_m,
131,CO11407385,'202301021543342706852056,'202301021546002706858534,COCV_577,9000,2023-01-02 16:08:48.0,SHP,SHP,BO,escobar.diana_m,
132,CO11407433,'202301021625042706969911,'202301021627102706975400,COCV_411,9000,2023-01-02 16:29:55.0,SHP,SHP,BO,ramirez.yaira_m,
133,CO11407446,'202301021641322707020711,'202301021643072707023994,COCV_391,9000,2023-01-02 16:44:51.0,SHP,SHP,BO,hernandez.luz_m,
134,COCC11263443,'202301010020232700905698,'202301010025242700912111,COCV_155,9000,2023-01-01 00:35:30.0,SHP,SHP,BO,rodriguez.cristian_m,
135,COCC11263452,'202301010026432700912688,'202301010031212700920119,COCV_556,9000,2023-01-01 02:49:02.0,SHP,SHP,null,domico.leidy_m,
136,COCC11263471,'202301010050472700937572,'202301010054072700939443,COCV_155,9000,2023-01-01 04:05:34.0,SHP,SHP,null,rodriguez.cristian_m,
137,COCC11263475,'202301010055222700939904,'202301010237182701018839,COCV_155,9000,2023-01-01 03:41:03.0,SHP,SHP,null,rodriguez.cristian_m,
138,COCC11263476,'202301010057572700940613,'202301010102032700946813,COCV_378,9000,2023-01-01 01:22:27.0,SHP,SHP,null,null,
139,COCC11263478,'202301010102022700946809,'202301010106022700948257,COCV_549,9000,2023-01-01 01:08:39.0,SHP,SHP,BO,acosta.ismael_m,
140,COCC11263486,'202301010108392700949124,'202301010111512700955384,COCV_411,9000,2023-01-01 01:13:17.0,SHP,SHP,BO,ramirez.yaira_m,
141,COCC11263505,'202301010136152700972847,'202301010139272700974298,COCV_220,9000,2023-01-01 01:44:06.0,SHP,SHP,BO,herrera.mariana_m,
142,COCC11263509,'202301010146012700980655,'202301010149052700981755,COCV_545,9000,2023-01-01 01:58:42.0,SHP,SHP,BO,leon.laura_m,
143,COCC11263513,'202301010155012700988623,'202301010159102700989967,COCV_816,9000,2023-01-01 02:06:58.0,SHP,SHP,null,solarte.diana_m,
144,COCC11263523,'202301010218562701005011,'202301010221242701009399,COCV_220,9000,2023-01-01 02:22:42.0,SHP,SHP,BO,herrera.mariana_m,
145,COCC11263527,'202301010222012701009628,'202301010227232701011354,COCV_551,9000,2023-01-01 02:31:22.0,SHP,SHP,BO,bautista.maria_m,
146,COCC11263530,'202301010228142701011505,'202301010233192701017544,COCV_556,9000,2023-01-01 02:37:14.0,SHP,SHP,BO,usuga.claudia_m,
147,COCC11263536,'202301010236232701018586,'202301010239232701019767,COCV_181,9000,2023-01-01 11:57:05.0,SHP,SHP,null,zapata.alejandra_m,
